No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-31 03:53:15,121.61,23.8322,3.9,36,23.83N 121.61E, i.e. 17.6 km S of Hualien County(23.83N 121.61E, i.e. 17.6 km S of Hualien County)
Small area,2024-05-31 00:06:09,121.612,23.8197,3.8,32.3,23.82N 121.61E, i.e. 19.0 km S of Hualien County(23.82N 121.61E, i.e. 19.0 km S of Hualien County)
409   ,2024-05-30 23:52:17,121.663,23.9545,5,36.9,23.95N 121.66E, i.e. 6.0 km SE of Hualien County(23.95N 121.66E, i.e. 6.0 km SE of Hualien County)
Small area,2024-05-30 20:09:50,121.667,24.1778,4.5,32.6,24.18N 121.67E, i.e. 21.2 km NNE of Hualien County(24.18N 121.67E, i.e. 21.2 km NNE of Hualien County)
408   ,2024-05-30 09:11:39,121.679,24.19,5.3,17.9,24.19N 121.68E, i.e. 22.8 km NNE of Hualien County(24.19N 121.68E, i.e. 22.8 km NNE of Hualien County)
407   ,2024-05-30 07:54:46,121.745,23.9978,5.1,17.1,24.00N 121.75E, i.e. 12.7 km E of Hualien County(24.00N 121.75E, i.e. 12.7 km E of Hualien County)
406   ,2024-05-30 05:42:27,121.617,24.0852,4,8.3,24.09N 121.62E, i.e. 10.4 km N of Hualien County(24.09N 121.62E, i.e. 10.4 km N of Hualien County)
405   ,2024-05-29 10:41:51,121.649,24.1663,4.6,32.6,24.17N 121.65E, i.e. 19.6 km N of Hualien County(24.17N 121.65E, i.e. 19.6 km N of Hualien County)
Small area,2024-05-29 07:40:12,121.411,23.8363,4,20.9,23.84N 121.41E, i.e. 27.3 km SW of Hualien County(23.84N 121.41E, i.e. 27.3 km SW of Hualien County)
Small area,2024-05-29 07:40:03,121.79,24.333,3.7,21.7,24.33N 121.79E, i.e. 44.2 km S of Yilan County(24.33N 121.79E, i.e. 44.2 km S of Yilan County)
Small area,2024-05-29 03:41:52,121.83,24.4067,3.9,11.2,24.41N 121.83E, i.e. 36.6 km SSE of Yilan County(24.41N 121.83E, i.e. 36.6 km SSE of Yilan County)
Small area,2024-05-28 23:16:21,121.98,24.4695,3.6,13.3,24.47N 121.98E, i.e. 36.3 km SE of Yilan County(24.47N 121.98E, i.e. 36.3 km SE of Yilan County)
Small area,2024-05-28 20:14:50,121.594,23.883,4.1,26.7,23.88N 121.59E, i.e. 12.2 km SSW of Hualien County(23.88N 121.59E, i.e. 12.2 km SSW of Hualien County)
Small area,2024-05-28 20:08:20,121.65,23.9628,3.6,36.9,23.96N 121.65E, i.e. 4.4 km SE of Hualien County(23.96N 121.65E, i.e. 4.4 km SE of Hualien County)
404   ,2024-05-28 19:05:22,121.621,23.9448,4.4,30,23.94N 121.62E, i.e. 5.1 km S of Hualien County(23.94N 121.62E, i.e. 5.1 km S of Hualien County)
Small area,2024-05-28 15:08:45,121.555,23.801,3.3,7.6,23.80N 121.56E, i.e. 22.1 km SSW of Hualien County(23.80N 121.56E, i.e. 22.1 km SSW of Hualien County)
403   ,2024-05-28 05:48:50,121.891,24.479,4.5,25.6,24.48N 121.89E, i.e. 30.8 km SSE of Yilan County(24.48N 121.89E, i.e. 30.8 km SSE of Yilan County)
Small area,2024-05-27 09:22:49,121.683,24.2672,3.5,28.3,24.27N 121.68E, i.e. 31.2 km NNE of Hualien County(24.27N 121.68E, i.e. 31.2 km NNE of Hualien County)
Small area,2024-05-27 01:08:55,121.494,23.9132,3.6,16.2,23.91N 121.49E, i.e. 15.4 km WSW of Hualien County(23.91N 121.49E, i.e. 15.4 km WSW of Hualien County)
